order_id,order_date,customer_id,region,state,sku,product_name,category,sub_category,quantity,unit_cogs,unit_list_price,gross_revenue,coupon_code,discount_pct,discount_amount,net_revenue,shipping_fee_collected,actual_shipping_cost,payment_processing_fee,total_cogs,gross_profit,gross_margin_pct,return_status,return_reason,return_processing_cost,net_profit,net_margin_pct,margin_leakage_flag
ORD-000029,2024-06-24,CUST-01160,South,AL,HOME-201,Stainless Steel Espresso Machine,Home & Kitchen,Appliances,1,85.0,189.99,189.99,NONE,0.0,0.0,189.99,0.0,16.9,5.81,85.0,104.99,55.26,Completed,N/A,0.0,82.28,43.31,0
ORD-000030,2024-09-21,CUST-06436,South,GA,ELEC-103,Ultra-Fast USB-C Charging Hub,Electronics,Accessories,1,12.0,34.99,34.99,SAVE10,0.1,3.5,31.49,5.99,7.66,1.21,12.0,19.49,61.89,Completed,N/A,0.0,16.61,52.75,0
ORD-000031,2023-04-29,CUST-02029,Central,MI,APP-305,Polarized UV400 Sport Sunglasses,Apparel,Accessories,1,6.5,29.99,29.99,NONE,0.0,0.0,29.99,5.99,6.72,1.17,6.5,23.49,78.33,Completed,N/A,0.0,21.59,71.99,0
ORD-000032,2023-04-04,CUST-05250,West,OR,HOME-205,Cordless Handheld Vacuum,Home & Kitchen,Cleaning,1,36.0,84.99,84.99,SAVE10,0.1,8.5,76.49,0.0,11.46,2.52,36.0,40.49,52.94,Completed,N/A,0.0,26.51,34.66,0
ORD-000033,2024-02-16,CUST-05078,West,NV,BEAU-403,Professional Ionic Hair Dryer,Beauty,Hair Care,1,28.0,69.99,69.99,NONE,0.0,0.0,69.99,0.0,9.37,2.33,28.0,41.99,59.99,Completed,N/A,0.0,30.29,43.28,0
ORD-000034,2024-07-02,CUST-05322,East,NY,ELEC-103,Ultra-Fast USB-C Charging Hub,Electronics,Accessories,1,12.0,34.99,34.99,SAVE10,0.1,3.5,31.49,5.99,8.66,1.21,12.0,19.49,61.89,Completed,N/A,0.0,15.61,49.57,0
ORD-000035,2023-12-02,CUST-03361,West,WA,ELEC-105,4K HDR Streaming Media Stick,Electronics,Video,1,18.0,49.99,49.99,SAVE10,0.1,5.0,44.99,5.99,7.94,1.6,18.0,26.99,59.99,Completed,N/A,0.0,23.44,52.1,0
ORD-000036,2024-03-27,CUST-02233,Central,TX,HOME-204,Chef Knife Set 8-Piece High Carbon,Home & Kitchen,Cookware,4,30.0,79.99,319.96,SUMMER15,0.15,47.99,271.97,0.0,24.1,8.19,120.0,151.97,55.88,Completed,N/A,0.0,119.68,44.0,0
ORD-000037,2023-12-27,CUST-04530,South,AL,APP-304,Heavyweight Cotton Pullover Hoodie,Apparel,Unisex,1,18.0,49.99,49.99,SUMMER15,0.15,7.5,42.49,5.99,8.54,1.53,18.0,24.49,57.64,Completed,N/A,0.0,20.41,48.03,0
ORD-000038,2024-06-06,CUST-05369,West,NV,BEAU-404,Organic Retinol Night Cream 50ml,Beauty,Skincare,3,7.0,28.99,86.97,NONE,0.0,0.0,86.97,0.0,8.82,2.82,21.0,65.97,75.85,Completed,N/A,0.0,54.33,62.47,0
ORD-000039,2024-01-26,CUST-00817,West,CA,APP-305,Polarized UV400 Sport Sunglasses,Apparel,Accessories,1,6.5,29.99,29.99,SUMMER15,0.15,4.5,25.49,5.99,7.72,1.04,6.5,18.99,74.5,Completed,N/A,0.0,16.22,63.63,0
ORD-000040,2023-03-06,CUST-05220,Central,MI,ELEC-104,Mechanical RGB Gaming Keyboard,Electronics,Gaming,1,38.0,89.99,89.99,FLASH25,0.25,22.5,67.49,0.0,8.92,2.26,38.0,29.49,43.7,Completed,N/A,0.0,18.31,27.13,0
ORD-000041,2023-11-16,CUST-05158,Central,CO,ELEC-101,Wireless Noise-Canceling Headphones,Electronics,Audio,2,45.0,99.99,199.98,SAVE10,0.1,20.0,179.98,0.0,8.26,5.52,90.0,89.98,49.99,Returned,Size / Fit Issue,9.1,-36.38,-20.21,1
ORD-000042,2024-05-01,CUST-06144,East,PA,HOME-204,Chef Knife Set 8-Piece High Carbon,Home & Kitchen,Cookware,3,30.0,79.99,239.97,SAVE10,0.1,24.0,215.97,0.0,21.2,6.56,90.0,125.97,58.33,Completed,N/A,0.0,98.21,45.47,0
ORD-000043,2023-03-13,CUST-02161,Central,MI,ELEC-104,Mechanical RGB Gaming Keyboard,Electronics,Gaming,1,38.0,89.99,89.99,NONE,0.0,0.0,89.99,0.0,8.92,2.91,38.0,51.99,57.77,Completed,N/A,0.0,40.16,44.63,0
ORD-000044,2023-05-21,CUST-05046,South,AL,ELEC-106,Portable Bluetooth Speaker (Waterproof),Electronics,Audio,2,22.0,59.99,119.98,SAVE10,0.1,12.0,107.98,0.0,9.64,3.43,44.0,63.98,59.25,Completed,N/A,0.0,50.91,47.15,0
ORD-000045,2023-09-30,CUST-05019,Central,CO,BEAU-402,Sonic Electric Toothbrush Set,Beauty,Oral Care,1,20.0,54.99,54.99,SAVE10,0.1,5.5,49.49,5.99,7.49,1.74,20.0,29.49,59.59,Completed,N/A,0.0,26.25,53.04,0
ORD-000046,2023-04-03,CUST-02119,West,WA,APP-305,Polarized UV400 Sport Sunglasses,Apparel,Accessories,1,6.5,29.99,29.99,NONE,0.0,0.0,29.99,5.99,7.72,1.17,6.5,23.49,78.33,Completed,N/A,0.0,20.59,68.66,0
ORD-000047,2023-11-27,CUST-02831,Central,IL,APP-302,Women's Seamless High-Waist Leggings,Apparel,Women's Clothing,1,12.0,38.99,38.99,CLEARANCE40,0.4,15.6,23.39,5.99,7.16,0.98,12.0,11.39,48.7,Completed,N/A,0.0,9.24,39.5,0
ORD-000048,2024-10-04,CUST-02693,Central,CO,APP-305,Polarized UV400 Sport Sunglasses,Apparel,Accessories,1,6.5,29.99,29.99,SAVE10,0.1,3.0,26.99,5.99,6.72,1.08,6.5,20.49,75.92,Returned,Late Delivery,8.65,-17.43,-64.58,1
ORD-000049,2023-01-05,CUST-02154,West,AZ,ELEC-103,Ultra-Fast USB-C Charging Hub,Electronics,Accessories,1,12.0,34.99,34.99,NONE,0.0,0.0,34.99,5.99,8.16,1.31,12.0,22.99,65.7,Completed,N/A,0.0,19.51,55.76,0
ORD-000050,2024-07-03,CUST-02893,West,NV,BEAU-404,Organic Retinol Night Cream 50ml,Beauty,Skincare,1,7.0,28.99,28.99,NONE,0.0,0.0,28.99,5.99,7.94,1.14,7.0,21.99,75.85,Completed,N/A,0.0,18.9,65.19,0
ORD-000051,2024-05-27,CUST-05376,Central,IL,HOME-206,Ceramic Non-Stick Frying Pan 10-inch,Home & Kitchen,Cookware,1,15.0,34.99,34.99,NONE,0.0,0.0,34.99,5.99,8.92,1.31,15.0,19.99,57.13,Completed,N/A,0.0,15.75,45.01,0
ORD-000052,2024-04-11,CUST-06133,West,WA,HOME-201,Stainless Steel Espresso Machine,Home & Kitchen,Appliances,1,85.0,189.99,189.99,FLASH25,0.25,47.5,142.49,0.0,17.4,4.43,85.0,57.49,40.35,Returned,Defective / Damaged,15.25,-49.83,-34.97,1
ORD-000053,2024-01-26,CUST-05172,East,NJ,BEAU-401,Vitamin C + Hyaluronic Acid Serum,Beauty,Skincare,1,5.5,24.99,24.99,NONE,0.0,0.0,24.99,5.99,8.33,1.02,5.5,19.49,77.99,Completed,N/A,0.0,16.13,64.55,0
ORD-000054,2024-05-12,CUST-05129,East,MA,HOME-205,Cordless Handheld Vacuum,Home & Kitchen,Cleaning,1,36.0,84.99,84.99,NONE,0.0,0.0,84.99,0.0,11.96,2.76,36.0,48.99,57.64,Completed,N/A,0.0,34.27,40.32,0
ORD-000055,2023-02-19,CUST-05885,Central,MI,ELEC-102,Smart Fitness Watch V2,Electronics,Wearables,1,55.0,129.99,129.99,FLASH25,0.25,32.5,97.49,0.0,7.05,3.13,55.0,42.49,43.58,Completed,N/A,0.0,32.31,33.14,0
ORD-000056,2023-08-29,CUST-03837,West,CA,HOME-204,Chef Knife Set 8-Piece High Carbon,Home & Kitchen,Cookware,2,30.0,79.99,159.98,NONE,0.0,0.0,159.98,0.0,16.3,4.94,60.0,99.98,62.5,Completed,N/A,0.0,78.74,49.22,0
ORD-000057,2023-03-08,CUST-05827,East,MA,HOME-206,Ceramic Non-Stick Frying Pan 10-inch,Home & Kitchen,Cookware,1,15.0,34.99,34.99,NONE,0.0,0.0,34.99,5.99,10.42,1.31,15.0,19.99,57.13,Completed,N/A,0.0,14.25,40.73,0
ORD-000058,2023-06-26,CUST-00176,Central,CO,ELEC-104,Mechanical RGB Gaming Keyboard,Electronics,Gaming,1,38.0,89.99,89.99,SAVE10,0.1,9.0,80.99,0.0,8.92,2.65,38.0,42.99,53.08,Completed,N/A,0.0,31.42,38.79,0
ORD-000059,2024-08-10,CUST-04731,East,VA,HOME-204,Chef Knife Set 8-Piece High Carbon,Home & Kitchen,Cookware,1,30.0,79.99,79.99,FLASH25,0.25,20.0,59.99,0.0,12.4,2.04,30.0,29.99,49.99,Completed,N/A,0.0,15.55,25.92,0
ORD-000060,2024-09-25,CUST-00874,West,OR,ELEC-106,Portable Bluetooth Speaker (Waterproof),Electronics,Audio,1,22.0,59.99,59.99,NONE,0.0,0.0,59.99,0.0,8.82,2.04,22.0,37.99,63.33,Completed,N/A,0.0,27.13,45.22,0
ORD-000061,2023-11-22,CUST-00587,West,AZ,HOME-206,Ceramic Non-Stick Frying Pan 10-inch,Home & Kitchen,Cookware,1,15.0,34.99,34.99,FLASH25,0.25,8.75,26.24,5.99,9.92,1.06,15.0,11.24,42.84,Completed,N/A,0.0,6.25,23.82,0
ORD-000062,2024-07-21,CUST-02411,West,CA,ELEC-105,4K HDR Streaming Media Stick,Electronics,Video,1,18.0,49.99,49.99,NONE,0.0,0.0,49.99,5.99,7.94,1.75,18.0,31.99,63.99,Completed,N/A,0.0,28.29,56.59,0
ORD-000063,2023-01-15,CUST-03243,Central,TX,HOME-205,Cordless Handheld Vacuum,Home & Kitchen,Cleaning,1,36.0,84.99,84.99,SAVE10,0.1,8.5,76.49,0.0,10.46,2.52,36.0,40.49,52.94,Completed,N/A,0.0,27.51,35.97,0
ORD-000064,2023-04-29,CUST-05323,West,NV,APP-305,Polarized UV400 Sport Sunglasses,Apparel,Accessories,1,6.5,29.99,29.99,NONE,0.0,0.0,29.99,5.99,7.72,1.17,6.5,23.49,78.33,Completed,N/A,0.0,20.59,68.66,0
ORD-000065,2023-03-17,CUST-01758,Central,TX,ELEC-101,Wireless Noise-Canceling Headphones,Electronics,Audio,1,45.0,99.99,99.99,SUMMER15,0.15,15.0,84.99,0.0,7.38,2.76,45.0,39.99,47.05,Completed,N/A,0.0,29.85,35.12,0
ORD-000066,2024-07-03,CUST-06150,West,WA,APP-303,Water-Resistant Trail Running Shoes,Apparel,Footwear,2,34.0,94.99,189.98,SAVE10,0.1,19.0,170.98,0.0,11.46,5.26,68.0,102.98,60.23,Completed,N/A,0.0,86.26,50.45,0
ORD-000067,2023-11-11,CUST-01555,Central,OH,APP-304,Heavyweight Cotton Pullover Hoodie,Apparel,Unisex,2,18.0,49.99,99.98,NONE,0.0,0.0,99.98,0.0,9.58,3.2,36.0,63.98,63.99,Completed,N/A,0.0,51.2,51.21,0
ORD-000068,2024-07-08,CUST-06442,South,GA,HOME-201,Stainless Steel Espresso Machine,Home & Kitchen,Appliances,1,85.0,189.99,189.99,SUMMER15,0.15,28.5,161.49,0.0,16.9,4.98,85.0,76.49,47.37,Completed,N/A,0.0,54.61,33.82,0
ORD-000069,2024-07-29,CUST-01965,Central,OH,HOME-205,Cordless Handheld Vacuum,Home & Kitchen,Cleaning,1,36.0,84.99,84.99,SAVE10,0.1,8.5,76.49,0.0,10.46,2.52,36.0,40.49,52.94,Completed,N/A,0.0,27.51,35.97,0
ORD-000070,2023-06-29,CUST-03486,Central,CO,BEAU-401,Vitamin C + Hyaluronic Acid Serum,Beauty,Skincare,1,5.5,24.99,24.99,SAVE10,0.1,2.5,22.49,5.99,6.83,0.95,5.5,16.99,75.54,Completed,N/A,0.0,15.2,67.59,0
ORD-000071,2023-04-16,CUST-00920,East,NY,HOME-204,Chef Knife Set 8-Piece High Carbon,Home & Kitchen,Cookware,1,30.0,79.99,79.99,NONE,0.0,0.0,79.99,0.0,12.4,2.62,30.0,49.99,62.5,Completed,N/A,0.0,34.97,43.72,0
ORD-000072,2024-05-06,CUST-02833,West,CA,BEAU-404,Organic Retinol Night Cream 50ml,Beauty,Skincare,1,7.0,28.99,28.99,CLEARANCE40,0.4,11.6,17.39,5.99,7.94,0.8,7.0,10.39,59.75,Completed,N/A,0.0,7.64,43.93,0
ORD-000073,2024-05-07,CUST-06062,Central,OH,HOME-206,Ceramic Non-Stick Frying Pan 10-inch,Home & Kitchen,Cookware,1,15.0,34.99,34.99,SUMMER15,0.15,5.25,29.74,5.99,8.92,1.16,15.0,14.74,49.56,Completed,N/A,0.0,10.65,35.81,0
ORD-000074,2023-04-05,CUST-05475,West,WA,APP-305,Polarized UV400 Sport Sunglasses,Apparel,Accessories,2,6.5,29.99,59.98,NONE,0.0,0.0,59.98,0.0,7.94,2.04,13.0,46.98,78.33,Completed,N/A,0.0,37.0,61.69,0
ORD-000075,2023-04-09,CUST-06039,Central,IL,HOME-201,Stainless Steel Espresso Machine,Home & Kitchen,Appliances,1,85.0,189.99,189.99,SUMMER15,0.15,28.5,161.49,0.0,16.4,4.98,85.0,76.49,47.37,Completed,N/A,0.0,55.11,34.13,0
ORD-000076,2023-04-22,CUST-02368,East,MA,ELEC-105,4K HDR Streaming Media Stick,Electronics,Video,2,18.0,49.99,99.98,FLASH25,0.25,25.0,74.98,0.0,8.88,2.47,36.0,38.98,51.99,Completed,N/A,0.0,27.63,36.85,0
ORD-000077,2023-12-29,CUST-05022,East,VA,HOME-203,Ergonomic Memory Foam Pillow,Home & Kitchen,Bedding,3,14.0,39.99,119.97,NONE,0.0,0.0,119.97,0.0,15.92,3.78,42.0,77.97,64.99,Completed,N/A,0.0,58.27,48.57,0
ORD-000078,2024-02-24,CUST-01851,East,PA,BEAU-404,Organic Retinol Night Cream 50ml,Beauty,Skincare,1,7.0,28.99,28.99,NONE,0.0,0.0,28.99,5.99,8.44,1.14,7.0,21.99,75.85,Completed,N/A,0.0,18.4,63.47,0
ORD-000079,2023-12-12,CUST-05469,South,FL,HOME-201,Stainless Steel Espresso Machine,Home & Kitchen,Appliances,2,85.0,189.99,379.98,NONE,0.0,0.0,379.98,0.0,26.8,11.32,170.0,209.98,55.26,Completed,N/A,0.0,171.86,45.23,0
ORD-000080,2023-09-14,CUST-05842,Central,TX,HOME-203,Ergonomic Memory Foam Pillow,Home & Kitchen,Bedding,1,14.0,39.99,39.99,SAVE10,0.1,4.0,35.99,5.99,9.14,1.34,14.0,21.99,61.1,Completed,N/A,0.0,17.5,48.62,0
ORD-000081,2023-03-25,CUST-02105,West,AZ,ELEC-106,Portable Bluetooth Speaker (Waterproof),Electronics,Audio,2,22.0,59.99,119.98,NONE,0.0,0.0,119.98,0.0,10.14,3.78,44.0,75.98,63.33,Returned,Changed Mind,9.4,-29.92,-24.94,1
ORD-000082,2023-11-02,CUST-06337,South,TN,APP-305,Polarized UV400 Sport Sunglasses,Apparel,Accessories,1,6.5,29.99,29.99,SAVE10,0.1,3.0,26.99,5.99,7.22,1.08,6.5,20.49,75.92,Completed,N/A,0.0,18.18,67.36,0
ORD-000083,2023-01-31,CUST-00570,South,AL,APP-303,Water-Resistant Trail Running Shoes,Apparel,Footwear,1,34.0,94.99,94.99,NONE,0.0,0.0,94.99,0.0,8.98,3.05,34.0,60.99,64.21,Completed,N/A,0.0,48.96,51.54,0
ORD-000084,2023-04-18,CUST-00311,South,TN,HOME-201,Stainless Steel Espresso Machine,Home & Kitchen,Appliances,2,85.0,189.99,379.98,SAVE10,0.1,38.0,341.98,0.0,26.8,10.22,170.0,171.98,50.29,Completed,N/A,0.0,134.96,39.46,0
ORD-000085,2024-09-18,CUST-00655,South,GA,ELEC-104,Mechanical RGB Gaming Keyboard,Electronics,Gaming,1,38.0,89.99,89.99,NONE,0.0,0.0,89.99,0.0,9.42,2.91,38.0,51.99,57.77,Completed,N/A,0.0,39.66,44.07,0
ORD-000086,2023-01-29,CUST-05425,West,CA,BEAU-404,Organic Retinol Night Cream 50ml,Beauty,Skincare,1,7.0,28.99,28.99,FLASH25,0.25,7.25,21.74,5.99,7.94,0.93,7.0,14.74,67.8,Completed,N/A,0.0,11.86,54.55,0
ORD-000087,2023-02-15,CUST-00915,South,NC,BEAU-402,Sonic Electric Toothbrush Set,Beauty,Oral Care,1,20.0,54.99,54.99,NONE,0.0,0.0,54.99,0.0,7.99,1.89,20.0,34.99,63.63,Completed,N/A,0.0,25.11,45.66,0
ORD-000088,2024-07-27,CUST-05313,Central,OH,BEAU-401,Vitamin C + Hyaluronic Acid Serum,Beauty,Skincare,1,5.5,24.99,24.99,SAVE10,0.1,2.5,22.49,5.99,6.83,0.95,5.5,16.99,75.54,Completed,N/A,0.0,15.2,67.59,0
ORD-000089,2023-09-21,CUST-02631,East,NY,HOME-206,Ceramic Non-Stick Frying Pan 10-inch,Home & Kitchen,Cookware,1,15.0,34.99,34.99,SAVE10,0.1,3.5,31.49,5.99,10.42,1.21,15.0,16.49,52.37,Completed,N/A,0.0,10.85,34.46,0
ORD-000090,2023-08-25,CUST-02741,West,NV,BEAU-403,Professional Ionic Hair Dryer,Beauty,Hair Care,1,28.0,69.99,69.99,SAVE10,0.1,7.0,62.99,0.0,9.37,2.13,28.0,34.99,55.55,Completed,N/A,0.0,23.49,37.29,0
ORD-000091,2023-10-17,CUST-06258,South,AL,ELEC-104,Mechanical RGB Gaming Keyboard,Electronics,Gaming,2,38.0,89.99,179.98,NONE,0.0,0.0,179.98,0.0,11.84,5.52,76.0,103.98,57.77,Completed,N/A,0.0,86.62,48.13,0
ORD-000092,2024-03-03,CUST-03944,Central,IL,HOME-202,Digital Air Fryer XL 6-Quart,Home & Kitchen,Appliances,1,48.0,109.99,109.99,NONE,0.0,0.0,109.99,0.0,17.94,3.49,48.0,61.99,56.36,Completed,N/A,0.0,40.56,36.88,0
ORD-000093,2023-09-20,CUST-01491,East,NY,ELEC-101,Wireless Noise-Canceling Headphones,Electronics,Audio,2,45.0,99.99,199.98,FLASH25,0.25,49.99,149.99,0.0,9.76,4.65,90.0,59.99,40.0,Returned,Defective / Damaged,9.1,-37.01,-24.67,1
ORD-000094,2023-08-30,CUST-00318,West,WA,BEAU-401,Vitamin C + Hyaluronic Acid Serum,Beauty,Skincare,1,5.5,24.99,24.99,NONE,0.0,0.0,24.99,5.99,7.83,1.02,5.5,19.49,77.99,Completed,N/A,0.0,16.63,66.55,0
ORD-000095,2023-02-09,CUST-00911,South,FL,HOME-206,Ceramic Non-Stick Frying Pan 10-inch,Home & Kitchen,Cookware,2,15.0,34.99,69.98,FLASH25,0.25,17.5,52.48,0.0,11.84,1.82,30.0,22.48,42.84,Returned,Changed Mind,10.15,-28.31,-53.94,1
ORD-000096,2023-06-06,CUST-06398,West,CA,HOME-204,Chef Knife Set 8-Piece High Carbon,Home & Kitchen,Cookware,1,30.0,79.99,79.99,NONE,0.0,0.0,79.99,0.0,11.9,2.62,30.0,49.99,62.5,Completed,N/A,0.0,35.47,44.34,0
ORD-000097,2023-08-06,CUST-04694,East,MA,BEAU-403,Professional Ionic Hair Dryer,Beauty,Hair Care,1,28.0,69.99,69.99,SAVE10,0.1,7.0,62.99,0.0,9.87,2.13,28.0,34.99,55.55,Completed,N/A,0.0,22.99,36.5,0
